name,electricityFee,serviceFee,timePeriod,totalFee,cityName,address,minRateId
万马爱充217路队站,A1zWNdKm,A1zRONKm,0:00 - 7:00,A1zbMtKm,重庆市,重庆市沙坪坝区长春沟217路车站内,20723
万马爱充217路队站,A1zbM9Km,A1zRNdKm,7:00 - 8:00,AlzTN9Km,重庆市,重庆市沙坪坝区长春沟217路车站内,20723
万马爱充217路队站,AlzTN9Km,A1zSMtKm,8:00 - 12:00,AlzSONKm,重庆市,重庆市沙坪坝区长春沟217路车站内,20723
万马爱充217路队站,A1zbM9Km,A1zRNdKm,12:00 - 19:00,AlzTN9Km,重庆市,重庆市沙坪坝区长春沟217路车站内,20723
万马爱充217路队站,AlzTN9Km,A1zSMtKm,19:00 - 21:00,AlzSONKm,重庆市,重庆市沙坪坝区长春沟217路车站内,20723
万马爱充217路队站,AlzTN9Km,A1zSMtKm,21:00 - 23:00,AlzSONKm,重庆市,重庆市沙坪坝区长春沟217路车站内,20723
万马爱充217路队站,A1zWNdKm,A1zRONKm,23:00 - 24:00,A1zbMtKm,重庆市,重庆市沙坪坝区长春沟217路车站内,20723
万马爱充91150部队水产路站,A1zRNtGm,A1zbM9Wm,0:00 - 6:00,AlzSMdKm,上海市,上海市宝山区水产路761号停车场,9903
万马爱充91150部队水产路站,A1zWNtem,A1zaM9em,6:00 - 8:00,AlzWMdKm,上海市,上海市宝山区水产路761号停车场,9903
万马爱充91150部队水产路站,A1zaN9Wm,A1zUMtGm,8:00 - 11:00,AlzUMdKm,上海市,上海市宝山区水产路761号停车场,9903
万马爱充91150部队水产路站,A1zWNtem,A1zaM9em,11:00 - 18:00,AlzWMdKm,上海市,上海市宝山区水产路761号停车场,9903
万马爱充91150部队水产路站,A1zaN9Wm,A1zUMtGm,18:00 - 21:00,AlzUMdKm,上海市,上海市宝山区水产路761号停车场,9903
万马爱充91150部队水产路站,A1zWNtem,A1zaM9em,21:00 - 22:00,AlzWMdKm,上海市,上海市宝山区水产路761号停车场,9903
万马爱充91150部队水产路站,A1zRNtGm,A1zbM9Wm,22:00 - 24:00,AlzSMdKm,上海市,上海市宝山区水产路761号停车场,9903
万马爱充F518创意园区站,A1zRMtOn,A1zXONqv,0:00 - 7:00,A1zUMtKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,A1zVNten,A1zWMdav,7:00 - 9:00,AlzSOdKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,AlzTM9Wg,A1zWMdCi,9:00 - 11:30,AlzWMtKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,A1zVNten,A1zWMdav,11:30 - 14:00,AlzSOdKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,AlzTM9Wg,A1zWMdCi,14:00 - 16:30,AlzWMtKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,A1zVNten,A1zWMdav,16:30 - 19:00,AlzSOdKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,AlzTM9Wg,A1zWMdCi,19:00 - 21:00,AlzWMtKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,A1zVNten,A1zWMdav,21:00 - 23:00,AlzSOdKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充F518创意园区站,A1zRMtOn,A1zXONqv,23:00 - 24:00,A1zUMtKm,深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,9616
万马爱充一山湖室外慢充站,A1zVNNKm,A1zUNNKm,0:00 - 24:00,AlzXMdKm,三亚市,海南省三亚市吉阳区迎宾路468号一山湖室外停车场,20682
万马爱充一山湖慢充站,A1zVNNKm,A1zUNNKm,0:00 - 24:00,AlzXMdKm,三亚市,海南省三亚市吉阳区迎宾路468号一山湖,20682
万马爱充万花苑慢充站,A1zbNNKm,A1zVNNKm,0:00 - 24:00,AlzWMdKm,海口市,海南省海口市秀英区美华路万花苑,20705
万马爱充万达公馆站,A1zQMdKi,A1zQMdKm,0:00 - 7:00,A1zVMdKi,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zWNtGk,A1zQMdKm,7:00 - 8:30,A1zbNtGk,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zbNdSm,A1zQMdKm,8:30 - 11:30,AlzSNdSm,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zWNtGk,A1zQMdKm,11:30 - 14:30,A1zbNtGk,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zbNdSm,A1zQMdKm,14:30 - 17:30,AlzSNdSm,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zWNtGk,A1zQMdKm,17:30 - 19:00,A1zbNtGk,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zbNdSm,A1zQMdKm,19:00 - 21:00,AlzSNdSm,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zWNtGk,A1zQMdKm,21:00 - 23:00,A1zbNtGk,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
万马爱充万达公馆站,A1zQMdKi,A1zQMdKm,23:00 - 24:00,A1zVMdKi,泉州市,福建省泉州市丰泽区宝洲路689号万达公馆北区西门,19375
