cityName,address,name,minRateId
深圳市,广东省深圳市平湖街道凤凰大道146号,万马爱充凤凰星苑酒店站,20650
深圳市,深圳市坪山区坑梓街道石田路32号,万马爱充坪山石田路站,10081
省直辖县级行政区划,海南省琼海市官塘大道与豪华路交叉口天来泉小区,万马爱充天来泉慢充站,20704
南京市,南京市玄武区兴贤路8号,万马爱充兴贤佳园站,19357
杭州市,杭州市下沙经济开发区文海北路379号,万马爱充下沙教材纸业站,16739
西安市,陕西省西安市未央区草滩九路普盛智慧产业园,万马爱充普盛智慧产业园站,20758
泉州市,福建省泉州市丰泽区东海街道宝山社区通港东街549号鑫航驾校旁,万马爱充鑫航驾校站,19375
泉州市,福建省泉州市惠安县洛阳镇324国道吉安汽车检测中心,万马爱充吉安汽车检测中心站,334
苏州市,苏州市吴中区石湖东路77号雅杰酒店地面（进门口直走到底左拐）,万马爱充雅杰大酒店站,10086
省直辖县级行政区划,海南省陵水绿城蓝湾酒店室外停车场,万马爱充绿城蓝湾酒店慢充站,19382
三亚市,海南省三亚市吉阳区迎宾路468号一山湖室外停车场,万马爱充一山湖室外慢充站,20682
三亚市,海南省三亚市崖州区创意新城6号路东合逸海郡小区,万马爱充东合逸海郡慢充站,20735
咸宁市,咸宁市咸安区贺胜桥东站广场西侧,万马爱充联投梓山湖鸡汤小镇站,4673
重庆市,重庆市渝中区大坪正街38号龙湖时代天街D馆车库负二楼,万马爱充龙湖时代天街D馆站,9271
深圳市,深圳市龙华区龙观西路3号,万马爱充金龙华广场站,9617
深圳市,深圳市龙华区和平路1号（富多肯工业园内）,万马爱充清湖社会站,9201
深圳市,广东省深圳市罗湖区宝安北路4008号,万马爱充麦德龙站,19302
武汉市,武汉市东西湖区金山大道京昌物流公司,万马爱充京昌物流站,19364
西安市,陕西省西安市未央区石化大道66号,万马爱充窦家寨站,16124
西安市,陕西省西安市雁塔区科技二路65号,万马爱充清华科技园站,18252
深圳市,广东省深圳市宝安区沙井街道迎宾路南书香公园停车场内（鸿荣源禧园北侧）,万马爱充书香公园站,20757
南京市,南京市江宁区天元东路城市之光地下停车场B2层,万马爱充城市之光站,12403
南京市,南京市秦淮区太平南路168号远洋国际地下停车场B3层,万马爱充远洋国际站,19357
深圳市,广东省深圳市宝安区沙井街道新和大道112号鹏程花园停车场内,万马爱充鹏程花园站,20757
苏州市,姑苏区义乌商贸城和合街入口地下负一层左拐前行30米后右拐至D区,万马爱充义乌国际商贸城站,18437
深圳市,深圳市龙岗区甘李路1号巨银科技园内,万马爱充巨银科技园站,20812
苏州市,苏州市高新区创业街8号（苏州市汉达工业园内）,万马爱充创业街站,18437
杭州市,杭州市下城区焦家里弄一号,万马爱充文源电商产业园站,16738
南京市,南京市六合区雄州南路288号沪江商贸城地面停车场,万马爱充沪江商贸城站,19357
西安市,陕西省西安市未央区凤城六路159号,万马爱充商储凤七物流园站,16124
南京市,南京市鼓楼区建宁路2号金盛百货地面停车场（修路期间，从中央路下面走，左拐进入停车场）,万马爱充金盛百货站,19357
西安市,陕西省西安市长安区西太路2号,万马爱充出口加工B区站,8590
